,Id,Use,Cat,Bird
184,training_background_3001336,Train,0,0
185,training_background_3001421,Train,0,0
186,training_background_3001460,Train,0,0
187,training_background_3001555,Train,0,0
188,training_background_3001569,Train,0,0
189,training_background_3001667,Train,0,0
190,training_background_3001751,Train,0,0
191,training_background_3001767,Train,0,0
192,training_background_3001826,Train,0,0
193,training_background_3001891,Train,0,0
194,training_background_3001976,Train,0,0
195,training_background_3002020,Train,0,0
196,training_background_3002059,Train,0,0
197,training_background_3002082,Train,0,0
198,training_background_3002154,Train,0,0
199,training_background_3002206,Train,0,0
200,training_background_3002221,Train,0,0
201,training_background_3002340,Train,0,0
202,training_background_3002366,Train,0,0
203,training_background_3002411,Train,0,0
204,training_background_3002594,Train,0,0
205,training_background_3002905,Train,0,0
206,training_background_3002909,Train,0,0
207,training_background_3003122,Train,0,0
208,training_background_3003322,Train,0,0
209,training_background_3003328,Train,0,0
210,training_background_3003356,Train,0,0
211,training_background_3003448,Train,0,0
212,training_background_3003731,Train,0,0
213,training_background_3003791,Train,0,0
214,training_background_3003817,Train,0,0
215,training_background_4000066,Train,0,0
216,training_background_4000086,Train,0,0
217,training_background_4100066,Train,0,0
218,training_background_4100246,Train,0,0
219,training_background_4100280,Train,0,0
220,training_background_5000016,Train,0,0
221,training_background_5000119,Train,0,0
222,training_background_5000120,Train,0,0
223,training_background_5000121,Train,0,0
224,training_background_5000122,Train,0,0
225,training_background_5000123,Train,0,0
226,training_background_5000124,Train,0,0
227,training_background_5000125,Train,0,0
228,training_background_5000126,Train,0,0
229,training_background_5000127,Train,0,0
230,training_background_5000128,Train,0,0
231,training_background_5000129,Train,0,0
232,training_background_5000130,Train,0,0
233,training_background_5000131,Train,0,0
234,training_background_5000132,Train,0,0
235,training_background_5000133,Train,0,0
236,training_background_5000137,Train,0,0
237,training_background_5000144,Train,0,0
238,training_background_5000147,Train,0,0
239,training_background_5000149,Train,0,0
240,training_background_5000150,Train,0,0
241,training_background_5000162,Train,0,0
242,training_background_5000163,Train,0,0
243,training_background_5000164,Train,0,0
244,training_background_5000165,Train,0,0
245,training_background_5000166,Train,0,0
246,training_background_5000168,Train,0,0
247,training_background_5000172,Train,0,0
248,training_background_5000173,Train,0,0
249,training_background_5000174,Train,0,0
250,training_background_5000175,Train,0,0
251,training_background_5000176,Train,0,0
252,training_background_5000180,Train,0,0
253,training_background_5000181,Train,0,0
254,training_background_5000182,Train,0,0
255,training_background_5000183,Train,0,0
256,training_background_5000184,Train,0,0
257,training_background_5000188,Train,0,0
258,training_background_5000190,Train,0,0
259,training_background_5000191,Train,0,0
260,training_background_5000192,Train,0,0
261,training_background_5000194,Train,0,0
262,training_background_5000195,Train,0,0
263,training_background_5000196,Train,0,0
264,training_background_5000197,Train,0,0
265,training_background_5000198,Train,0,0
266,training_background_5000199,Train,0,0
267,training_background_5000200,Train,0,0
268,training_background_5000201,Train,0,0
269,training_background_5000202,Train,0,0
270,training_background_5000203,Train,0,0
271,training_background_5000204,Train,0,0
272,training_background_5000205,Train,0,0
273,training_background_5000226,Train,0,0
274,training_background_5000234,Train,0,0
275,training_background_5000257,Train,0,0
276,training_background_5000264,Train,0,0
277,training_background_5000265,Train,0,0
278,training_background_6000000,Train,0,0
279,training_background_6000001,Train,0,0
280,training_background_6000002,Train,0,0
281,training_background_6000003,Train,0,0
282,training_background_6000004,Train,0,0
283,training_background_6000005,Train,0,0
284,training_background_6000006,Train,0,0
285,training_background_6000007,Train,0,0
286,training_background_6000008,Train,0,0
287,training_background_6000009,Train,0,0
288,training_background_6000010,Train,0,0
289,training_background_6000011,Train,0,0
290,training_background_6000012,Train,0,0
291,training_background_6000013,Train,0,0
292,training_background_6000014,Train,0,0
293,training_background_6000015,Train,0,0
294,training_background_6000016,Train,0,0
295,training_background_6000017,Train,0,0
296,training_background_6000018,Train,0,0
297,training_background_6000019,Train,0,0
298,training_background_6000020,Train,0,0
299,training_background_6000021,Train,0,0
300,training_background_6000022,Train,0,0
301,training_background_6000023,Train,0,0
302,training_background_6000024,Train,0,0
303,training_background_6000025,Train,0,0
304,training_background_6000026,Train,0,0
305,training_background_6000027,Train,0,0
306,training_background_6000028,Train,0,0
307,training_background_6000029,Train,0,0
308,training_background_6000030,Train,0,0
309,training_background_6000031,Train,0,0
310,training_background_6000032,Train,0,0
311,training_background_6000033,Train,0,0
312,training_background_6000034,Train,0,0
313,training_background_6000035,Train,0,0
314,training_background_6000036,Train,0,0
315,training_background_6000037,Train,0,0
316,training_background_6000038,Train,0,0
317,training_background_6000039,Train,0,0
318,training_background_6000040,Train,0,0
319,training_background_6000041,Train,0,0
320,training_background_6000042,Train,0,0
321,training_background_6000043,Train,0,0
322,training_background_6000044,Train,0,0
323,training_background_6000045,Train,0,0
324,training_background_6000046,Train,0,0
325,training_background_6000047,Train,0,0
326,training_background_6000048,Train,0,0
327,training_background_6000049,Train,0,0
328,training_background_6000050,Train,0,0
329,training_background_6000051,Train,0,0
330,training_background_6000052,Train,0,0
331,training_background_6000053,Train,0,0
332,training_background_6000054,Train,0,0
333,training_background_6000055,Train,0,0
334,training_background_6000056,Train,0,0
335,training_background_6000057,Train,0,0
336,training_background_6000058,Train,0,0
337,training_background_6000059,Train,0,0
338,training_background_6000060,Train,0,0
339,training_background_6000061,Train,0,0
340,training_background_6000062,Train,0,0
341,training_background_6000063,Train,0,0
342,training_background_6000064,Train,0,0
343,training_background_6000065,Train,0,0
344,training_background_6000066,Train,0,0
345,training_background_6000067,Train,0,0
346,training_background_6000068,Train,0,0
347,training_background_6000069,Train,0,0
348,training_background_6000070,Train,0,0
349,training_background_6000071,Train,0,0
350,training_background_6000072,Train,0,0
351,training_background_6000073,Train,0,0
352,training_background_6000074,Train,0,0
353,training_background_6000075,Train,0,0
354,training_background_6000076,Train,0,0
355,training_background_6000077,Train,0,0
356,training_background_6000078,Train,0,0
357,training_background_6000079,Train,0,0
358,training_background_6000080,Train,0,0
359,training_background_6000081,Train,0,0
360,training_background_6000082,Train,0,0
361,training_background_6000083,Train,0,0
362,training_background_6000084,Train,0,0
363,training_background_6000085,Train,0,0
364,training_background_6000086,Train,0,0
365,training_background_6000087,Train,0,0
366,training_background_6000088,Train,0,0
367,training_background_6000089,Train,0,0
368,training_background_6000090,Train,0,0
369,training_background_6000091,Train,0,0
370,training_background_6000092,Train,0,0
371,training_background_6000093,Train,0,0
372,training_background_6000094,Train,0,0
373,training_background_6000095,Train,0,0
374,training_background_6000096,Train,0,0
375,training_background_6000097,Train,0,0
376,training_background_6000098,Train,0,0
377,training_background_6000099,Train,0,0
378,training_background_6000100,Train,0,0
379,training_background_6000101,Train,0,0
380,training_background_6000102,Train,0,0
381,training_background_6000103,Train,0,0
382,training_background_6000104,Train,0,0
383,training_background_6000105,Train,0,0
384,training_background_6000106,Train,0,0
385,training_background_6000107,Train,0,0
386,training_background_6000108,Train,0,0
387,training_background_6000109,Train,0,0
388,training_background_6000110,Train,0,0
389,training_background_6000111,Train,0,0
390,training_background_6000112,Train,0,0
391,training_background_6000113,Train,0,0
392,training_background_6000114,Train,0,0
393,training_background_6000115,Train,0,0
394,training_background_6000116,Train,0,0
395,training_background_6000117,Train,0,0
396,training_background_6000118,Train,0,0
397,training_background_6000119,Train,0,0
398,training_background_6000120,Train,0,0
399,training_background_6000121,Train,0,0
400,training_background_6000122,Train,0,0
401,training_background_6000123,Train,0,0
402,training_background_6000124,Train,0,0
403,training_background_6000125,Train,0,0
404,training_background_6000126,Train,0,0
405,training_background_6000127,Train,0,0
406,training_background_6000128,Train,0,0
407,training_background_6000129,Train,0,0
408,training_background_6000130,Train,0,0
409,training_background_6000131,Train,0,0
410,training_background_6000132,Train,0,0
411,training_background_6000133,Train,0,0
412,training_background_6000134,Train,0,0
413,training_background_6000135,Train,0,0
414,training_background_6000136,Train,0,0
415,training_background_6000137,Train,0,0
416,training_background_6000138,Train,0,0
417,training_background_6000139,Train,0,0
418,training_background_6000140,Train,0,0
419,training_background_6000141,Train,0,0
420,training_background_6000142,Train,0,0
421,training_background_6000143,Train,0,0
422,training_background_6000144,Train,0,0
423,training_background_6000145,Train,0,0
424,training_background_6000146,Train,0,0
425,training_background_6000147,Train,0,0
426,training_background_6000148,Train,0,0
427,training_background_6000149,Train,0,0
428,training_background_6000150,Train,0,0
429,training_background_6000151,Train,0,0
430,training_background_6000152,Train,0,0
431,training_background_6000153,Train,0,0
432,training_background_6000154,Train,0,0
433,training_background_6000155,Train,0,0
434,training_background_6000156,Train,0,0
435,training_background_6000157,Train,0,0
436,training_background_6000158,Train,0,0
437,training_background_6000159,Train,0,0
438,training_background_6000160,Train,0,0
439,training_background_6000161,Train,0,0
440,training_background_6000162,Train,0,0
441,training_background_6000163,Train,0,0
442,training_background_6000164,Train,0,0
443,training_background_6000165,Train,0,0
444,training_background_6000166,Train,0,0
445,training_background_6000167,Train,0,0
446,training_background_6000168,Train,0,0
447,training_background_6000169,Train,0,0
448,training_background_6000170,Train,0,0
449,training_background_6000171,Train,0,0
450,training_background_6000172,Train,0,0
451,training_background_6000173,Train,0,0
452,training_background_6000174,Train,0,0
453,training_background_6000175,Train,0,0
454,training_background_6000176,Train,0,0
455,training_background_6000177,Train,0,0
456,training_background_6000178,Train,0,0
457,training_background_6000179,Train,0,0
458,training_background_6000180,Train,0,0
459,training_background_6000181,Train,0,0
460,training_background_6000182,Train,0,0
461,training_background_6000183,Train,0,0
462,training_background_6000184,Train,0,0
463,training_background_6000185,Train,0,0
464,training_background_6000186,Train,0,0
465,training_background_6000187,Train,0,0
466,training_background_6000188,Train,0,0
467,training_background_6000189,Train,0,0
468,training_background_6000190,Train,0,0
469,training_background_6000191,Train,0,0
470,training_background_6000192,Train,0,0
471,training_background_6000193,Train,0,0
472,training_background_6000194,Train,0,0
473,training_background_6000195,Train,0,0
474,training_background_6000196,Train,0,0
475,training_background_6000197,Train,0,0
476,training_background_6000198,Train,0,0
477,training_background_6000199,Train,0,0
478,training_background_6000200,Train,0,0
479,training_background_6000201,Train,0,0
480,training_background_6000202,Train,0,0
481,training_background_6000203,Train,0,0
482,training_background_6000204,Train,0,0
483,training_background_6000205,Train,0,0
484,training_background_6000206,Train,0,0
485,training_background_6000207,Train,0,0
486,training_background_6000208,Train,0,0
487,training_background_6000209,Train,0,0
488,training_background_6000210,Train,0,0
489,training_background_6000211,Train,0,0
490,training_background_6000212,Train,0,0
491,training_background_6000213,Train,0,0
492,training_background_6000214,Train,0,0
493,training_background_6000215,Train,0,0
494,training_background_6000216,Train,0,0
495,training_background_6000217,Train,0,0
496,training_background_6000218,Train,0,0
497,training_background_6000219,Train,0,0
498,training_background_6000220,Train,0,0
499,training_background_6000221,Train,0,0
500,training_background_6000222,Train,0,0
501,training_background_6000223,Train,0,0
502,training_background_6000224,Train,0,0
503,training_background_6000225,Train,0,0
504,training_background_6000226,Train,0,0
505,training_background_6000227,Train,0,0
506,training_background_6000228,Train,0,0
507,training_background_6000229,Train,0,0
508,training_background_6000230,Train,0,0
509,training_background_6000231,Train,0,0
510,training_background_6000232,Train,0,0
511,training_background_6000233,Train,0,0
512,training_background_6000234,Train,0,0
513,training_background_6000235,Train,0,0
514,training_background_6000236,Train,0,0
515,training_background_6000237,Train,0,0
516,training_background_6000238,Train,0,0
517,training_background_6000239,Train,0,0
518,training_background_6000240,Train,0,0
519,training_background_6000241,Train,0,0
520,training_background_6000242,Train,0,0
521,training_background_6000243,Train,0,0
522,training_background_6000244,Train,0,0
523,training_background_6000245,Train,0,0
524,training_background_6000246,Train,0,0
525,training_background_6000247,Train,0,0
526,training_background_6000248,Train,0,0
527,training_background_6000249,Train,0,0
528,training_background_6000250,Train,0,0
529,training_background_6000251,Train,0,0
530,training_background_6000252,Train,0,0
531,training_background_6000253,Train,0,0
532,training_background_6000254,Train,0,0
533,training_background_6000255,Train,0,0
534,training_background_6000256,Train,0,0
535,training_background_6000257,Train,0,0
536,training_background_6000258,Train,0,0
537,training_background_6000259,Train,0,0
538,training_background_6000260,Train,0,0
539,training_background_6000261,Train,0,0
540,training_background_6000262,Train,0,0
541,training_background_6000263,Train,0,0
542,training_background_6000264,Train,0,0
543,training_background_6000265,Train,0,0
544,training_background_6000266,Train,0,0
545,training_background_6000267,Train,0,0
546,training_background_6000268,Train,0,0
547,training_background_6000269,Train,0,0
548,training_background_6000270,Train,0,0
549,training_background_6000271,Train,0,0
550,training_background_6000272,Train,0,0
551,training_background_6000273,Train,0,0
552,training_background_6000274,Train,0,0
553,training_cat_0,Train,1,0
554,training_cat_1002,Train,1,0
555,training_cat_1010,Train,1,0
556,training_cat_1033,Train,1,0
557,training_cat_1055,Train,1,0
558,training_cat_1062,Train,1,0
559,training_cat_1069,Train,1,0
560,training_cat_1071,Train,1,0
561,training_cat_1073,Train,1,0
562,training_cat_1075,Train,1,0
563,training_cat_1079,Train,1,0
564,training_cat_1081,Train,1,0
565,training_cat_1085,Train,1,0
566,training_cat_1086,Train,1,0
567,training_cat_1089,Train,1,0
568,training_cat_1099,Train,1,0
569,training_cat_1104,Train,1,0
570,training_cat_1105,Train,1,0
571,training_cat_1107,Train,1,0
572,training_cat_1108,Train,1,0
573,training_cat_1109,Train,1,0
574,training_cat_111,Train,1,0
575,training_cat_1111,Train,1,0
576,training_cat_1118,Train,1,0
577,training_cat_1120,Train,1,0
578,training_cat_1122,Train,1,0
579,training_cat_1123,Train,1,0
580,training_cat_1127,Train,1,0
581,training_cat_11271,Train,1,0
582,training_cat_11286,Train,1,0
583,training_cat_11288,Train,1,0
584,training_cat_1129,Train,1,0
585,training_cat_11290,Train,1,0
586,training_cat_11299,Train,1,0
587,training_cat_11302,Train,1,0
588,training_cat_11309,Train,1,0
589,training_cat_11313,Train,1,0
590,training_cat_11315,Train,1,0
591,training_cat_11321,Train,1,0
592,training_cat_11323,Train,1,0
593,training_cat_11324,Train,1,0
594,training_cat_11333,Train,1,0
595,training_cat_11338,Train,1,0
596,training_cat_1134,Train,1,0
597,training_cat_11340,Train,1,0
598,training_cat_11343,Train,1,0
599,training_cat_11352,Train,1,0
600,training_cat_11353,Train,1,0
601,training_cat_11354,Train,1,0
602,training_cat_11357,Train,1,0
603,training_cat_11362,Train,1,0
604,training_cat_11363,Train,1,0
605,training_cat_11366,Train,1,0
606,training_cat_1137,Train,1,0
607,training_cat_11372,Train,1,0
608,training_cat_11373,Train,1,0
609,training_cat_11377,Train,1,0
610,training_cat_11379,Train,1,0
611,training_cat_11383,Train,1,0
612,training_cat_11386,Train,1,0
613,training_cat_11388,Train,1,0
614,training_cat_11390,Train,1,0
615,training_cat_11391,Train,1,0
616,training_cat_11393,Train,1,0
617,training_cat_11396,Train,1,0
618,training_cat_11397,Train,1,0
619,training_cat_11410,Train,1,0
620,training_cat_11411,Train,1,0
621,training_cat_11415,Train,1,0
622,training_cat_11416,Train,1,0
623,training_cat_11418,Train,1,0
624,training_cat_11421,Train,1,0
625,training_cat_11423,Train,1,0
626,training_cat_11429,Train,1,0
627,training_cat_1143,Train,1,0
628,training_cat_11432,Train,1,0
629,training_cat_11435,Train,1,0
630,training_cat_11437,Train,1,0
631,training_cat_11440,Train,1,0
632,training_cat_11442,Train,1,0
633,training_cat_11443,Train,1,0
634,training_cat_11444,Train,1,0
635,training_cat_11460,Train,1,0
636,training_cat_11462,Train,1,0
637,training_cat_11465,Train,1,0
638,training_cat_11468,Train,1,0
639,training_cat_11469,Train,1,0
640,training_cat_11470,Train,1,0
641,training_cat_11477,Train,1,0
642,training_cat_11484,Train,1,0
643,training_cat_11485,Train,1,0
644,training_cat_1149,Train,1,0
645,training_cat_11494,Train,1,0
646,training_cat_11495,Train,1,0
647,training_cat_11497,Train,1,0
648,training_cat_1150,Train,1,0
649,training_cat_11501,Train,1,0
650,training_cat_11502,Train,1,0
651,training_cat_11503,Train,1,0
652,training_cat_11504,Train,1,0
653,training_cat_11506,Train,1,0
654,training_cat_11507,Train,1,0
655,training_cat_11508,Train,1,0
656,training_cat_11512,Train,1,0
657,training_cat_11517,Train,1,0
658,training_cat_11520,Train,1,0
659,training_cat_11523,Train,1,0
660,training_cat_1153,Train,1,0
661,training_cat_11533,Train,1,0
662,training_cat_11536,Train,1,0
663,training_cat_1154,Train,1,0
664,training_cat_11542,Train,1,0
665,training_cat_11555,Train,1,0
666,training_cat_11564,Train,1,0
667,training_cat_11565,Train,1,0
668,training_cat_11569,Train,1,0
669,training_cat_11575,Train,1,0
670,training_cat_11579,Train,1,0
671,training_cat_1158,Train,1,0
672,training_cat_11582,Train,1,0
673,training_cat_11584,Train,1,0
674,training_cat_11585,Train,1,0
675,training_cat_11588,Train,1,0
676,training_cat_11589,Train,1,0
677,training_cat_11590,Train,1,0
678,training_cat_11592,Train,1,0
679,training_cat_11593,Train,1,0
680,training_cat_11596,Train,1,0
681,training_cat_11597,Train,1,0
682,training_cat_11599,Train,1,0
683,training_cat_11614,Train,1,0
684,training_cat_11617,Train,1,0
685,training_cat_1162,Train,1,0
686,training_cat_11621,Train,1,0
687,training_cat_11625,Train,1,0
688,training_cat_11626,Train,1,0
689,training_cat_11631,Train,1,0
690,training_cat_11633,Train,1,0
691,training_cat_11643,Train,1,0
692,training_cat_11647,Train,1,0
693,training_cat_11661,Train,1,0
694,training_cat_11663,Train,1,0
695,training_cat_11666,Train,1,0
696,training_cat_11672,Train,1,0
697,training_cat_11674,Train,1,0
698,training_cat_11678,Train,1,0
699,training_cat_11681,Train,1,0
700,training_cat_11684,Train,1,0
701,training_cat_11688,Train,1,0
702,training_cat_11699,Train,1,0
703,training_cat_11703,Train,1,0
704,training_cat_11706,Train,1,0
705,training_cat_11709,Train,1,0
706,training_cat_11710,Train,1,0
707,training_cat_11711,Train,1,0
708,training_cat_11715,Train,1,0
709,training_cat_11718,Train,1,0
710,training_cat_11721,Train,1,0
711,training_cat_11725,Train,1,0
712,training_cat_11726,Train,1,0
713,training_cat_11731,Train,1,0
714,training_cat_11734,Train,1,0
715,training_cat_11735,Train,1,0
716,training_cat_11737,Train,1,0
717,training_cat_11739,Train,1,0
718,training_cat_11740,Train,1,0
719,training_cat_11761,Train,1,0
720,training_cat_11770,Train,1,0
721,training_cat_11780,Train,1,0
722,training_cat_11786,Train,1,0
723,training_cat_1179,Train,1,0
724,training_cat_11791,Train,1,0
725,training_cat_11792,Train,1,0
726,training_cat_11798,Train,1,0
727,training_cat_1180,Train,1,0
728,training_cat_11807,Train,1,0
729,training_cat_1181,Train,1,0
730,training_cat_11810,Train,1,0
731,training_cat_11811,Train,1,0
732,training_cat_11812,Train,1,0
733,training_cat_11818,Train,1,0
734,training_cat_11819,Train,1,0
735,training_cat_1184,Train,1,0
736,training_cat_11840,Train,1,0
737,training_cat_11842,Train,1,0
738,training_cat_11843,Train,1,0
739,training_cat_11845,Train,1,0
740,training_cat_11858,Train,1,0
741,training_cat_1186,Train,1,0
742,training_cat_11862,Train,1,0
743,training_cat_11871,Train,1,0
744,training_cat_11873,Train,1,0
745,training_cat_11876,Train,1,0
746,training_cat_1188,Train,1,0
747,training_cat_11882,Train,1,0
748,training_cat_11885,Train,1,0
749,training_cat_1189,Train,1,0
750,training_cat_11892,Train,1,0
751,training_cat_11893,Train,1,0
752,training_cat_11894,Train,1,0
753,training_cat_11898,Train,1,0
754,training_cat_1190,Train,1,0
755,training_cat_11903,Train,1,0
756,training_cat_11913,Train,1,0
757,training_cat_11914,Train,1,0
758,training_cat_11917,Train,1,0
759,training_cat_11919,Train,1,0
760,training_cat_11921,Train,1,0
761,training_cat_11922,Train,1,0
762,training_cat_11926,Train,1,0
763,training_cat_11927,Train,1,0
764,training_cat_11929,Train,1,0
765,training_cat_1193,Train,1,0
766,training_cat_11938,Train,1,0
767,training_cat_11944,Train,1,0
768,training_cat_11946,Train,1,0
769,training_cat_11949,Train,1,0
770,training_cat_11954,Train,1,0
771,training_cat_11956,Train,1,0
772,training_cat_11964,Train,1,0
773,training_cat_11966,Train,1,0
774,training_cat_11967,Train,1,0
775,training_cat_1197,Train,1,0
776,training_cat_11972,Train,1,0
777,training_cat_11973,Train,1,0
778,training_cat_11976,Train,1,0
779,training_cat_11977,Train,1,0
780,training_cat_11979,Train,1,0
781,training_cat_11982,Train,1,0
782,training_cat_11988,Train,1,0
783,training_cat_11991,Train,1,0
784,training_cat_11992,Train,1,0
785,training_cat_11995,Train,1,0
786,training_cat_11997,Train,1,0
787,training_cat_1200,Train,1,0
788,training_cat_12006,Train,1,0
789,training_cat_12009,Train,1,0
790,training_cat_12010,Train,1,0
791,training_cat_1202,Train,1,0
792,training_cat_12021,Train,1,0
793,training_cat_12026,Train,1,0
794,training_cat_12027,Train,1,0
795,training_cat_12030,Train,1,0
796,training_cat_12031,Train,1,0
797,training_cat_12032,Train,1,0
798,training_cat_12037,Train,1,0
799,training_cat_12044,Train,1,0
800,training_cat_12046,Train,1,0
801,training_cat_12048,Train,1,0
802,training_cat_12053,Train,1,0
803,training_cat_12057,Train,1,0
804,training_cat_12061,Train,1,0
805,training_cat_12065,Train,1,0
806,training_cat_12077,Train,1,0
807,training_cat_12085,Train,1,0
808,training_cat_12086,Train,1,0
809,training_cat_1209,Train,1,0
810,training_cat_12094,Train,1,0
811,training_cat_12096,Train,1,0
812,training_cat_12099,Train,1,0
813,training_cat_121,Train,1,0
814,training_cat_12105,Train,1,0
815,training_cat_12113,Train,1,0
816,training_cat_12117,Train,1,0
817,training_cat_12119,Train,1,0
818,training_cat_12124,Train,1,0
819,training_cat_1213,Train,1,0
820,training_cat_12134,Train,1,0
